Absorption wavelength (nm), Intensity
271.34,0.4392
246.36,0.0236
250.8,0
324.93,0.0002
269.75,0.0003
287.36,0.0007
297.4,0.0011
276.32,0.0113
397.92,0.0233
234.84,0.1788
405.9,0.5188
356.41,0.6724
313.72,0.0001
258.22,0.071
309.42,0.16
254.22,0.0178
318.4,0.1121
368.69,0.1931
317.94,0.0269
324.54,0.033
279.89,0.1776
248.35,0.0518
280.87,0.0341
312.45,0.0033
247.9,0.0369
281.91,0.0632
295.77,0.0026
266.22,0.0168
243.36,0.0142
265.58,0.0611
318.32,0.0567
260.37,0.4359
357.56,0.0012
256.51,0.0494
285.01,0.058
342.46,0.1075
283.82,0.0029
233.03,0.0035
250.87,0.0431
286.14,0.091
267.23,0.0078
316.2,0.0877
310.16,0.0311
336.74,0.0019
358.41,0.0004
273.17,0.0729
274.67,0.0068
300.34,0.048
332.15,0.0018
343.58,0.2273
352.89,1.1837
268.82,0.0261
384.8,0.0001
310.48,0.032
301.11,0.0024
330.05,0.0092
223.05,0.0023
349.05,0.0667
246.56,0.0037
313.09,0.027
239.96,0.0163
308.75,0.0016
313.47,0.0035
238.89,0.0057
266.32,0.0042
239.61,0.0317
337.19,0.0076
246.62,0.0471
306.5,0.0094
299.11,0.0022
247.32,0.0379
383.06,0.0986
250.14,0.0567
296.03,0.0995
250.94,0.0011
291.34,0.002
308.51,0.0178
361.98,0.0005
279.06,0.069
287.82,0.0262
321.13,0.0053
286.1,0.0501
284.98,0.0399
250.33,0.0149
277.45,0.0103
246.43,0.0002
263.9,0.0051
315.08,0.2592
453.14,0
208.25,0.0723
241.3,0.0094
289.26,0.0854
273.61,0.0642
298.98,0.0002
346.19,0.023
343.6,0.2894
340.5,0.0205
317.59,0.037
223.98,0.0008
430.46,0.0115
240.86,0.0308
283.28,0.0574
277.63,0.0515
277.8,0.1041
390.68,0.0009
313.01,0.09
262.6,0.0565
239.79,0.0277
285.37,0.019
260.27,0.0815
375.77,0.0042
337.72,0.0003
273.12,0.0881
234.69,0.0005
359.16,0.0064
422.9,0.0567
355.04,0.0006
256.87,0.0328
161.62,0.0018
339.53,0.0035
345.53,0.0171
238.5,0.017
245.61,0.0151
284.76,0.1267
325.24,0.8287
257.41,0.0001
284.87,0.014
255.46,0.6626
344.22,0.3254
282.34,0.2162
276.99,0.2486
307.58,0.0548
248.15,0.0044
467.78,0.0082
292.36,0.1554
306.42,0.0035
327.27,0.3415
330.09,0.789
323.17,0.1645
174.93,0.0146
263.91,0.0835
260.51,0.0744
260.64,0.0251
286.9,0.055
312.89,0.0096
281,0.0492
262.9,0.0868
376.26,0.0004
240.8,0.0031
302.11,0.0633
259.42,0.0109
291.55,0.2537
364.85,0.0012
180.5,0.0126
273.18,0.0015
270.17,0.0194
269.85,0.021
300.77,0.0007
316.99,0.0118
385.16,0.119
297.41,0.0494
354.13,0.001
277.89,0.0882
296.42,0.0001
239.16,0.0077
380.24,0.0129
338.86,0
320.46,0.9678
295.19,0.1283
238.98,0.0047
318.37,0.3455
239.34,0.0275
419.6,0.0378
301.61,0.1048
255.38,0.1129
264.08,0.0245
362.43,0
477.66,0
297.63,0.0025
251.47,0.0347
294.71,0.0419
253.96,0.0016
248.41,0.003
298.95,0.157
319.76,0.027
261.04,0.0221
317.07,0.0799
270.13,0.0068
309.28,0.0994
298.05,0.0872
253.07,0.0048
305.96,0.0359
392.13,0.0066
354.9,0.0244
296.14,0.1271
245.07,0.0003
294.2,0.0064
268.05,0.0247
258.66,0.0708
408.37,0.8818
236.08,0.012
235.43,0.011
306.44,0.0001
305.42,0.1444
261.4,0.124
267.14,0.1313
268.25,0.4599
275.15,0.0084
256.35,0.0346
340.85,0.0167
348.02,0.0052
279.85,0.0708
372.59,0.0507
271.07,0.478
251.51,0.0993
237.48,0.0001
235.15,0.0009
300.51,0.894
282.6,0.0168
441.06,0.0002
222.23,0.0135
283,0.0639
630,0.0696
332.25,0.0001
291.96,0
258.29,0.0275
256.71,0.0156
330.94,0.0008
352.34,0.0012
393.07,0.0009
285.16,0.0439
244.5,0.0228
221.04,0.0146
298.19,0.003
327.9,0.082
321.95,0.0003
346.83,0.0019
267.71,0.0086
438.8,0
320.39,0.0664
354.98,0.0226
319.87,0.2559
267.45,0.0392
294.9,0
295.75,0.0649
234.63,0.0022
330.39,0.0064
379.33,0
283.63,0.1807
243.39,0.0289
400.86,0.0067
340.44,0.0001
428.17,0.0005
240.72,0.0005
342.54,0.0058
315.48,0.0689
252.46,0.0146
312.25,0.0026
298.82,0.0861
389.07,0.019
221.37,0.0006
341.11,0.0038
304.3,0.0081
279.68,0.2301
244.09,0.0428
389.57,0.0004
329.88,0.8973
330.6,0
283.13,0.5899
364.08,0.0197
292.42,0.0043
261.42,0.0259
260.97,0.1056
338.62,0.0038
288.23,0.1548
338.02,0.4354
243.63,0.03
277.36,0.0619
335.65,0.0015
428.95,0.0021
273.68,0.1009
314.87,0.011
205.14,0.01
294.81,0.0964
321.14,0.1199
344.22,0.0012
372.61,0.1738
278.34,0.004
348.5,0.0007
261.14,0.0364
262.1,0.0002
263.42,0.182
247.47,0.0022
374.17,0.1224
301.1,0.0552
293.43,0.0998
362.49,0.0143
188.89,0.0108
321.08,0.0264
340.98,0.009
366.22,0.0264
293.19,0.0004
373.21,0.3233
353.34,0.0059
288.6,0.126
258.19,0.1035
286.28,0.0327
253.27,0.012
261.18,0.0143
418.98,0.8989
283.01,0.044
283.17,0.0248
247.57,0.0517
270.28,0.0564
194.11,0.0216
250,0.0076
249.65,0.0769
269.74,0.0022
275.52,0.0119
272.1,0.0245
279.73,0.087
239.67,0.0006
279.03,0
339.28,0
267.18,0.0393
277.32,0.4151
328.67,0.2732
293.69,0.2
286.95,0.0868
270.09,0.0251
254.49,0.0093
239.5,0.009
195.09,0.0074
263.22,0.0007
360.26,0.003
390.87,0
289.28,0.0601
365.54,0.0064
331.73,0.003
279.99,0.0007
444.96,0
396.58,0
266.33,0.0005
320.87,0.0002
318.91,0.041
219.53,0.0017
253.65,0.0001
252.61,0.143
321.77,0.0001
259.55,0.0173
288.69,0.2167
290.93,0.0855
217.32,0.0239
221.07,0.0039
270.77,0.185
270.66,0.0317
340.63,0.0043
317.01,0.0002
247.5,0.0169
254.92,0.1624
388.6,0.0174
242.5,0.0004
165.89,0.0002
263.38,0.0145
267.85,0.2106
315.3,0.023
287.54,0.0845
335.85,0.0005
329.53,0.0093
279.96,0.0037
370,0.0024
276.31,0.0007
260.86,0.1356
324.61,0.0015
319.28,0.1388
255.78,0.0159
332.51,0.0479
336.06,0
286.32,0.178
357.01,0.8486
252.82,0.1465
336.45,0.0035
283.64,0.0209
322.23,0.0002
414.78,0.0005
261.12,0.0775
334.54,0.0762
264.34,0.0567
417.57,0
244.26,0.0244
263.02,0.0895
372.12,0.0024
273.05,0.0908
223.99,0.0335
284.77,0.0002
298.7,0.0064
324.87,0.043
283.33,0.1027
246.42,0.0009
276.4,0.0366
339.9,0.0657
273.47,0.0094
272.42,0.0641
239.29,0.0203
349.65,0.0008
226.39,0.0012
278.67,0.0681
231.09,0.0026
247.59,0.0012
341.93,0.0238
286.7,0.0342
310.11,0.1357
252.74,0.0167
224.89,0.0005
376.39,0.9006
277.46,0.0117
254.22,0.0483
252.17,0.1411
219.62,0.0003
349.3,0.0004
325.86,0
333.62,0.095
248.18,0.0074
311.87,0.0012
312.1,0.0348
376.91,0.0056
317.52,0.0404
345.3,0.2118
272.01,0.2328
284.01,0.0542
349.2,0.0007
290.41,0.149
308.11,0.012
390.86,0.3963
421.07,0.007
306.45,0.2057
248.83,0.0481
293.07,0.0035
396.14,0.0008
293.75,0.0001
325.48,0.7596
295.83,0.1145
284.4,0.0011
308.31,0.0144
321.42,0.0002
250.5,0.0057
334.02,0.0029
349.28,0.0006
276.13,0.0024
296,0.0593
226.2,0.001
353.2,0.0238
296.05,0.0783
253.84,0.0038
536.63,0.0393
285.77,0.0001
259.09,0.0004
240.6,0.0283
233.98,0.2628
265.68,0.0475
297.38,0.1275
334.36,0.7262
261.15,0.3421
252.36,0.1536
375.66,0.0035
260.83,0.0008
345.18,0.0474
253.42,0.0151
254.42,0.0274
218.04,0.0028
212.15,0.0009
249.7,0.0533
275.85,0.2882
302.63,0.006
283.11,0.1456
348.7,0.0001
289.73,0.1216
222.83,0.0003
335.7,0.0605
336.58,0.3568
462.85,0.0008
253.12,0.0229
382.26,0
337.44,0.4545
315.56,0
265.67,0.0551
265.76,0.0002
188.92,0.0011
299.34,0.0181
271.33,0.0432
274.7,0.0355
352.31,0.1643
245.43,0.0214
325.67,0.2713
248.06,0.0184
300.2,0.1053
281.18,0.024
361.22,0.0018
409.14,0.0036
401.2,0.041
254.69,0.6168
324.47,0.0002
275.39,0.1102
332.99,0.019
309.64,0.7301
306.96,0.1494
337.82,0.0061
357.82,0.0063
321.92,0.0008
258.73,0.007
285.45,0.023
234.94,0.015
268.51,0.1955
252.46,0.0008
265.65,0.1073
306.87,0.0242
344.95,0.0236
291.4,0.0091
286.45,0.1982
307.81,0.166
284.3,0.2477
257.68,0.0084
293.43,0.8039
462.86,0
